timestamp,operator_id,event_type,field,value,notes
2026-04-24 10:52:49.001,111,CLOCK_IN,operator_id,111,
2026-04-24 10:54:09.653,111,CLOCK_IN,operator_id,111,
2026-04-24 10:54:10.792,111,CONTAINER_SCAN,container_id,10002  HDPE  [DWG013_AA],
2026-04-24 10:56:00.737,111,CLOCK_IN,operator_id,111,
2026-04-24 10:56:01.999,111,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-24 10:56:04.273,111,CHECKOUT,container_id,10002  →  tank_blow_mold_1  [HDPE],
2026-04-24 10:58:26.481,111,CLOCK_IN,operator_id,111,
2026-04-24 10:58:48.002,111,CLOCK_IN,operator_id,111,
2026-04-24 10:59:01.235,111,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-24 11:22:30.246,111,CLOCK_IN,operator_id,111,
2026-04-24 11:22:31.791,111,CONTAINER_SCAN,container_id,10002  HDPE  (check-in),
2026-04-24 11:22:38.371,111,SCALE_SCAN,scale_id,SCL01  reading=50.0 kg,
2026-04-24 11:22:40.465,111,CHECKIN,container_id,10002  new qty=50.0 kg  [HDPE],
