timestamp,operator_id,build_number,batch_number,event_type,field,value,notes
2026-04-13 15:44:27.896,1111,,,CLOCK_IN,operator_id,1111,
2026-04-13 15:44:35.055,1111,00002,,BUILD_SCAN,build_number,00002,
2026-04-13 15:44:40.361,1111,00002,4324324,BATCH_SCAN,batch_number,4324324,
2026-04-13 15:44:43.567,1111,00002,4324324,EQUIP_SCAN,equipment_id,1,
2026-04-13 15:44:44.467,1111,00002,4324324,CYCLE_START,cycle,started,
2026-04-13 15:44:45.484,1111,00002,4324324,PART_COUNT,parts_produced,1,
2026-04-13 15:44:46.529,1111,00002,4324324,PART_COUNT,parts_produced,2,
2026-04-13 15:44:47.035,1111,00002,4324324,PART_COUNT,parts_produced,3,
2026-04-13 15:44:47.385,1111,00002,4324324,PART_COUNT,parts_produced,4,
2026-04-13 15:44:47.768,1111,00002,4324324,PART_COUNT,parts_produced,5,
2026-04-13 15:44:48.686,1111,00002,4324324,CYCLE_STOP,cycle,elapsed_sec=4 parts=5,
2026-04-13 15:44:50.126,1111,00002,4324324,CLOCK_OUT,operator_id,1111,
2026-04-13 15:51:22.610,11111,,,CLOCK_IN,operator_id,11111,
2026-04-13 15:51:29.863,11111,00002,,BUILD_SCAN,build_number,00002,
2026-04-13 15:51:34.545,11111,00002,324324234,BATCH_SCAN,batch_number,324324234,
2026-04-13 15:51:36.401,11111,00002,324324234,EQUIP_SCAN,equipment_id,1,
2026-04-13 15:51:37.515,11111,00002,324324234,CYCLE_START,cycle,started,
2026-04-13 15:51:38.453,11111,00002,324324234,PART_COUNT,parts_produced,1,
2026-04-13 15:51:38.878,11111,00002,324324234,PART_COUNT,parts_produced,2,
2026-04-13 15:51:39.181,11111,00002,324324234,PART_COUNT,parts_produced,3,
2026-04-13 15:51:39.416,11111,00002,324324234,PART_COUNT,parts_produced,4,
2026-04-13 15:51:39.689,11111,00002,324324234,PART_COUNT,parts_produced,5,
2026-04-13 15:51:41.002,11111,00002,324324234,CYCLE_STOP,cycle,elapsed_sec=3 parts=5,
2026-04-13 15:51:44.771,11111,00002,324324234,CLOCK_OUT,operator_id,11111,
