timestamp,operator_id,build_number,batch_number,event_type,field,value,notes
2026-04-11 11:26:15.123,1111,,,CLOCK_IN,operator_id,1111,
2026-04-11 11:26:20.603,1111,12345,,BUILD_SCAN,build_number,12345,
2026-04-11 11:26:29.207,1111,12345,333,BATCH_SCAN,batch_number,333,
2026-04-11 11:26:30.197,1111,12345,333,EQUIP_SCAN,equipment_id,1,
2026-04-11 11:26:34.157,1111,12345,333,CYCLE_START,cycle,started,
2026-04-11 11:26:36.464,1111,12345,333,PART_COUNT,parts_produced,1,
2026-04-11 11:26:37.657,1111,12345,333,PART_COUNT,parts_produced,2,
2026-04-11 11:26:39.029,1111,12345,333,PART_COUNT,parts_produced,3,
2026-04-11 11:26:40.380,1111,12345,333,PART_COUNT,parts_produced,4,
2026-04-11 11:26:42.340,1111,12345,333,PART_COUNT,parts_produced,5,
2026-04-11 11:26:45.768,1111,12345,333,DEFECT,defect_type,Flash x1,
2026-04-11 11:26:49.672,1111,12345,333,PART_COUNT,parts_produced,6,
2026-04-11 11:26:50.683,1111,12345,333,PART_COUNT,parts_produced,7,
2026-04-11 11:27:55.385,1111,12345,333,PART_COUNT,parts_produced,8,fire drill - delayed production
2026-04-11 11:27:58.297,1111,12345,333,PART_COUNT,parts_produced,9,
2026-04-11 11:27:59.467,1111,12345,333,PART_COUNT,parts_produced,10,
2026-04-11 11:28:03.630,1111,12345,333,DEFECT,defect_type,Silver Streaks x1,
2026-04-11 11:28:08.547,1111,12345,333,PART_COUNT,parts_produced,11,
2026-04-11 11:28:09.502,1111,12345,333,PART_COUNT,parts_produced,12,
2026-04-11 11:28:11.898,1111,12345,333,CYCLE_STOP,cycle,elapsed_sec=97 parts=12,
2026-04-11 11:28:16.938,1111,12345,333,CLOCK_OUT,operator_id,1111,
