timestamp,operator_id,event_type,field,value,notes
2026-04-24 10:52:49.001,111,CLOCK_IN,operator_id,111,
2026-04-24 10:54:09.653,111,CLOCK_IN,operator_id,111,
2026-04-24 10:54:10.792,111,CONTAINER_SCAN,container_id,10002  HDPE  [DWG013_AA],
2026-04-24 10:56:00.737,111,CLOCK_IN,operator_id,111,
2026-04-24 10:56:01.999,111,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-24 10:56:04.273,111,CHECKOUT,container_id,10002  →  tank_blow_mold_1  [HDPE],
2026-04-24 10:58:26.481,111,CLOCK_IN,operator_id,111,
2026-04-24 10:58:48.002,111,CLOCK_IN,operator_id,111,
2026-04-24 10:59:01.235,111,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-24 11:22:30.246,111,CLOCK_IN,operator_id,111,
2026-04-24 11:22:31.791,111,CONTAINER_SCAN,container_id,10002  HDPE  (check-in),
2026-04-24 11:22:38.371,111,SCALE_SCAN,scale_id,SCL01  reading=50.0 kg,
2026-04-24 11:22:40.465,111,CHECKIN,container_id,10002  new qty=50.0 kg  [HDPE],
2026-04-24 13:18:31.099,111,,,CLOCK_IN,operator_id,111,
2026-04-24 14:03:43.632,111,CLOCK_IN,operator_id,111,
2026-04-24 14:04:03.591,111,CONTAINER_SCAN,container_id,10003,
2026-04-24 14:04:39.972,111,SCALE_SCAN,scale_id,SCL01  reading=50.0 kg,
2026-04-24 14:05:07.333,111,CONTAINER_ADD,container_id,10003  asdf  50.0 kg,
2026-04-24 14:06:57.651,1,CLOCK_IN,operator_id,1,
2026-04-24 14:07:26.597,1,CONTAINER_SCAN,container_id,10002  HDPE  [DRW013_AA],
2026-04-24 14:07:42.045,1,CHECKOUT,container_id,10002  →  tank_blow_mold_1  [HDPE],
2026-04-24 14:08:55.709,1,CLOCK_IN,operator_id,1,
2026-04-24 14:08:58.410,1,CONTAINER_SCAN,container_id,10002  HDPE  (check-in),
2026-04-24 14:09:10.379,1,SCALE_SCAN,scale_id,SCL01  reading=50.0 kg,
2026-04-24 14:09:39.562,1,CHECKIN,container_id,10002  new qty=50.0 kg  [HDPE],
2026-04-25 15:20:52.432,1,CLOCK_IN,operator_id,1,
2026-04-25 15:21:10.893,1,CONTAINER_SCAN,container_id,10010,
2026-04-25 15:24:17.330,1,SCALE_SCAN,scale_id,SCL01  raw=110.0 kg  est=100.0 kg,
2026-04-25 15:24:59.136,1,CONTAINER_ADD,container_id,10010  HDPE - BLUE  100.0 kg,
2026-04-25 15:34:52.693,1,SCALE_SCAN,scale_id,SCL01  raw=110.0 kg  est=156 pcs,
