timestamp,operator_id,build_number,batch_number,event_type,field,value,notes
2026-04-26 16:18:07.009,1111,,,CLOCK_IN,operator_id,1111,
2026-04-26 16:18:40.430,1111,00003,,BUILD_SCAN,build_number,00003,
2026-04-26 16:19:44.144,1111,00003,10000,CONTAINER_SCAN,container_id,10000,
2026-04-26 16:20:17.998,1111,00003,"10000,10001",CONTAINER_SCAN,container_id,10001,
2026-04-26 16:24:49.888,1111,00003,"10000,10001",EQUIP_SCAN,equipment_id,TST01,
2026-04-26 17:40:32.449,1111,,,CLOCK_IN,operator_id,1111,
2026-04-26 17:40:38.630,1111,00003,,BUILD_SCAN,build_number,00003,
2026-04-26 17:48:59.783,1111,,,CLOCK_IN,operator_id,1111,
2026-04-26 17:49:15.579,1111,00003,,BUILD_SCAN,build_number,00003,
2026-04-26 17:54:15.582,1111,00003,10000,CONTAINER_SCAN,container_id,10000,
2026-04-26 17:54:20.787,1111,00003,"10000,10001",CONTAINER_SCAN,container_id,10001,
2026-04-26 17:54:37.098,1111,00003,"10000,10001",EQUIP_SCAN,equipment_id,TST01,
2026-04-26 17:55:00.422,1111,00003,"10000,10001",CYCLE_START,cycle,started,
2026-04-26 17:55:05.951,1111,00003,"10000,10001",CYCLE_STOP,cycle,elapsed_sec=5 parts=0,
2026-04-26 17:55:11.928,1111,00003,"10000,10001",CYCLE_START,cycle,started,
2026-04-26 17:55:12.553,1111,00003,"10000,10001",PART_COUNT,parts_produced,1,
2026-04-26 17:55:13.248,1111,00003,"10000,10001",CYCLE_STOP,cycle,elapsed_sec=1 parts=1,
2026-04-26 17:55:30.062,1111,00003,"10000,10001",CYCLE_START,cycle,started,
2026-04-26 17:55:31.091,1111,00003,"10000,10001",PART_COUNT,parts_produced,2,
2026-04-26 17:55:31.887,1111,00003,"10000,10001",CYCLE_STOP,cycle,elapsed_sec=1 parts=2,
2026-04-26 17:55:38.552,1111,00003,"10000,10001",CYCLE_START,cycle,started,
2026-04-26 17:55:44.620,1111,00003,"10000,10001",DEFECT,defect_type,Flash x1,
2026-04-26 17:55:52.301,1111,00003,"10000,10001",CYCLE_STOP,cycle,elapsed_sec=13 parts=2,
